################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.0121427566453731E-01 a       356     0    18     1    16
 -2.2447524300721261E-01 a       357     0    18     1    17
  1.4764464588655404E-01 a       358     0    18     1    18
 -7.3871871913795371E-03 a       359     0    18     1    19
 -1.0631827753246076E-01 a       360     0    18     1    20
  1.2530800228894090E-01 a       361     0    19     1     1
  2.1250787667429497E-01 a       362     0    19     1     2
  4.0237982519599552E-01 a       363     0    19     1     3
 -9.2943769196768722E-02 a       364     0    19     1     4
  1.0438436148705475E-01 a       365     0    19     1     5
 -1.8948638929228778E-01 a       366     0    19     1     6
  5.1299518710876964E-02 a       367     0    19     1     7
 -1.3965029925052791E-01 a       368     0    19     1     8
 -5.9005924724009541E-02 a       369     0    19     1     9
 -4.0253221284083268E-01 a       370     0    19     1    10
 -2.7654195249729974E-01 a       371     0    19     1    11
  2.5788793689082717E-01 a       372     0    19     1    12
 -1.7244545214322801E-01 a       373     0    19     1    13
 -2.3698235917061827E-01 a       374     0    19     1    14
 -3.5937608805376081E-01 a       375     0    19     1    15
 -1.5467417591812607E-01 a       376     0    19     1    16
 -4.8784270255830195E-02 a       377     0    19     1    17
  2.4697383451984561E-01 a       378     0    19     1    18
  2.7077753929565851E-02 a       379     0    19     1    19
 -8.9875864069922581E-02 a       380     0    19     1    20
  4.8317449048812071E-02 a       381     0    20     1     1
  8.3367336422163152E-02 a       382     0    20     1     2
 -1.4088560315015372E-01 a       383     0    20     1     3
  8.0602165364170475E-02 a       384     0    20     1     4
 -1.6533573812860475E-01 a       385     0    20     1     5
  2.1564585758023666E-01 a       386     0    20     1     6
 -6.2137719925781133E-02 a       387     0    20     1     7
 -1.5120319288808559E-01 a       388     0    20     1     8
  9.6492075044074130E-02 a       389     0    20     1     9
  1.6513895674334247E-01 a       390     0    20     1    10
  2.7785370440320822E-02 a       391     0    20     1    11
 -1.7899717142727636E-01 a       392     0    20     1    12
  1.3032108062017705E-01 a       393     0    20     1    13
  1.6459112565966347E-01 a       394     0    20     1    14
  1.8024600589474885E-01 a       395     0    20     1    15
 -2.0203153246932976E-02 a       396     0    20     1    16
 -1.9355282218237048E-02 a       397     0    20     1    17
  3.1863354359952967E-01 a       398     0    20     1    18
 -7.0882534824917465E-02 a       399     0    20     1    19
 -8.9085167650052463E-02 a       400     0    20     1    20
 -6.3485946025887585E-02 a       401     0    21     1     1
  1.8885876027166115E-01 a       402     0    21     1     2
  1.4657926640176039E-01 a       403     0    21     1     3
 -2.2750925996252289E-01 a       404     0    21     1     4
  1.7531050410475174E-01 a       405     0    21     1     5
 -2.8050255073075775E-01 a       406     0    21     1     6
 -2.9112145135764367E-01 a       407     0    21     1     7
 -1.0252133286969380E-01 a       408     0    21     1     8
  4.6029575397660977E-01 a       409     0    21     1     9
 -7.4864157762526820E-02 a       410     0    21     1    10
  1.7633836799190872E-01 a       411     0    21     1    11
  1.3981390032027746E-01 a       412     0    21     1    12
  1.3404333676498453E-01 a       413     0    21     1    13
  2.7845318706905098E-01 a       414     0    21     1    14
  2.1710831991001847E-01 a       415     0    21     1    15
  2.7807645604537995E-01 a       416     0    21     1    16
  4.4740003595771259E-02 a       417     0    21     1    17
  2.4596190475423235E-01 a       418     0    21     1    18
 -1.6432994794856032E-01 a       419     0    21     1    19
 -2.3207049793722512E-01 a       420     0    21     1    20
  3.5017825636176558E-01 a       421     0    22     1     1
  3.6671058256206029E-01 a       422     0    22     1     2
  1.5327693409211327E-01 a       423     0    22     1     3
 -3.4208171499424594E-02 a       424     0    22     1     4
  1.9994904508256073E-01 a       425     0    22     1     5
 -2.9752811484814129E-01 a       426     0    22     1     6
 -1.8088315908820155E-02 a       427     0    22     1     7
 -1.5451862296272051E-01 a       428     0    22     1     8
 -3.0719930586731548E-01 a       429     0    22     1     9
 -2.5285084358295912E-01 a       430     0    22     1    10
  1.9283903900441456E-02 a       431     0    22     1    11
  1.2426523099452626E-01 a       432     0    22     1    12
 -1.1211031970881599E-01 a       433     0    22     1    13
 -3.0362177103405291E-01 a       434     0    22     1    14
 -1.8580205189555488E-01 a       435     0    22     1    15
 -7.4336137068765240E-02 a       436     0    22     1    16
  7.7598181130387129E-03 a       437     0    22     1    17
 -1.8307762412885762E-02 a       438     0    22     1    18
 -1.8190077413215130E-01 a       439     0    22     1    19
 -1.6430981540779299E-01 a       440     0    22     1    20
  2.1096350200904540E-01 a       441     0    23     1     1
  8.6474210648769270E-02 a       442     0    23     1     2
  3.3518503900144225E-01 a       443     0    23     1     3
 -7.7080475916179184E-02 a       444     0    23     1     4
  5.6094288786589029E-02 a       445     0    23     1     5
  1.0883737259198493E-01 a       446     0    23     1     6
 -1.0269068565863399E-02 a       447     0    23     1     7
 -1.1391691757472799E-01 a       448     0    23     1     8
  1.4794492448471497E-01 a       449     0    23     1     9
 -1.3313112046646786E-01 a       450     0    23     1    10
  1.3082853471218485E-02 a       451     0    23     1    11
  4.6383020633566113E-02 a       452     0    23     1    12
  2.8480185346904861E-02 a       453     0    23     1    13
  1.5607293832481209E-01 a       454     0    23     1    14
  2.0653553589517432E-01 a       455     0    23     1    15
  3.0050929184848052E-01 a       456     0    23     1    16
 -2.9594103109319880E-01 a       457     0    23     1    17
 -5.1710497229291393E-02 a       458     0    23     1    18
 -2.9737344884748097E-02 a       459     0    23     1    19
 -1.4697697247630490E-02 a       460     0    23     1    20
  6.6495753893480877E-02 a       461     0    24     1     1
  7.7809946181007950E-02 a       462     0    24     1     2
 -1.8840576954481966E-01 a       463     0    24     1     3
  8.2693898341546501E-02 a       464     0    24     1     4
  9.3400110146465126E-02 a       465     0    24     1     5
 -5.2062966551009393E-02 a       466     0    24     1     6
  1.9729946356150847E-02 a       467     0    24     1     7
  1.3050458666858144E-02 a       468     0    24     1     8
 -1.7745435351529429E-01 a       469     0    24     1     9
 -1.8751407218400454E-01 a       470     0    24     1    10
 -7.1918199615292180E-02 a       471     0    24     1    11
 -6.9682505099049427E-02 a       472     0    24     1    12
 -2.4069462593320429E-01 a       473     0    24     1    13
 -4.7078396616860002E-02 a       474     0    24     1    14
 -1.0879907125329911E-02 a       475     0    24     1    15
  5.3959994997834083E-02 a       476     0    24     1    16
 -1.4565345257660417E-01 a       477     0    24     1    17
  1.0242044644500284E-01 a       478     0    24     1    18
  1.5308732286805311E-02 a       479     0    24     1    19
 -1.1220000601126823E-01 a       480     0    24     1    20
  2.4780002258655054E-01 a       481     0    25     1     1
  2.6894978478982601E-01 a       482     0    25     1     2
 -2.7638508424137476E-01 a       483     0    25     1     3
  1.2389456746736761E-01 a       484     0    25     1     4
 -8.1576952618186996E-02 a       485     0    25     1     5
  3.8414750933262867E-02 a       486     0    25     1     6
  2.1701019851834563E-02 a       487     0    25     1     7
 -8.1110679522888567E-03 a       488     0    25     1     8
 -5.9476912542408403E-02 a       489     0    25     1     9
 -7.8257848151914555E-02 a       490     0    25     1    10
 -3.0705245186307892E-02 a       491     0    25     1    11
  7.3250367857347815E-02 a       492     0    25     1    12
  5.0147501239864514E-02 a       493     0    25     1    13
  8.0544328911837729E-02 a       494     0    25     1    14
  2.8211257667138484E-01 a       495     0    25     1    15
 -3.2672886157305079E-03 a       496     0    25     1    16
  5.7093263754305026E-02 a       497     0    25     1    17
 -2.3709864015340776E-01 a       498     0    25     1    18
 -2.6219188408023097E-01 a       499     0    25     1    19
 -1.0169610949508877E-01 a       500     0    25     1    20
 -1.3267329672598235E-01 a       501     0    26     1     1
 -5.6271901966477321E-02 a       502     0    26     1     2
