################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2         24   0.0000000000000000E+00   3.2867794236645452E-02   3.6159582701147155E-04   1.3914269066509811E-03
         2         25   0.0000000000000000E+00   1.0133651307221511E-02   1.3513612950587694E-04   5.0911443891950596E-04
         2         26   0.0000000000000000E+00   1.9579589971593578E-01   4.5621209507397988E-03   1.2827936138803233E-02
         2         27   0.0000000000000000E+00   5.0290757090945132E-02   9.0860524207613306E-04   3.1038472703160129E-03
         2         28   0.0000000000000000E+00   1.5626340063142414E-02   3.3883576424593282E-04   1.1100021712023157E-03
         2         29   0.0000000000000000E+00   3.2211133030983669E-01   2.2947307334528853E-03   1.0651584364801655E-02
         2         30   0.0000000000000000E+00   3.9505364610405498E-02   8.6008177421533361E-04   2.4470326248004510E-03
         2         31   0.0000000000000000E+00   5.4218937410092004E-02   2.3677514420110328E-04   1.5183755416033732E-03
         2         32   0.0000000000000000E+00   1.9544579102704976E-02   1.8429401069874774E-04   7.6104929441132146E-04
         2         33   0.0000000000000000E+00   5.0366676765390062E-01   5.2962703484613965E-03   1.9775405520959136E-02
         2         34   0.0000000000000000E+00   1.2490268149072445E-01   2.4610897992143241E-03   7.4726594978725153E-03
         2         35   0.0000000000000000E+00   4.7244372365755016E-02   1.1734989764615501E-03   3.2870883917430400E-03
         2         36   0.0000000000000000E+00   1.5718511265862500E-01   1.6190470439175861E-03   6.0507372615168841E-03
         2         37   0.0000000000000000E+00   3.0615920550212141E-02   4.7295064602553231E-04   1.7111543536344239E-03
         2         38   0.0000000000000000E+00   8.5578420323923626E-03   1.6483166946857232E-04   5.7142493290072342E-04
         2         39   0.0000000000000000E+00   1.4279325653810437E-02   2.3148483757280233E-04   7.8611228507970458E-04
         2         40   0.0000000000000000E+00   3.7071225875028435E-01   2.8732207305597977E-03   1.2958872926603813E-02
         2         41   0.0000000000000000E+00   9.7876986899586890E-02   1.4559883092324336E-03   5.0747655239093119E-03
         2         42   0.0000000000000000E+00   1.8840849173103191E-02   6.7370653969530886E-05   4.9005270839568276E-04
         2         43   0.0000000000000000E+00   2.0718709522716519E-01   1.7414415936748283E-03   7.5266516196951594E-03
         2         44   0.0000000000000000E+00   5.1654870804895239E-02   7.2842575257461156E-04   2.5773216460825347E-03
         2         45   0.0000000000000000E+00   6.0552691232561746E-02   5.0663997369889302E-04   2.1507878082171724E-03
         2         46   0.0000000000000000E+00   2.1897659426603770E-03   1.9416449424166622E-05   8.9396410818989093E-05
         2         47   0.0000000000000000E+00   7.5670407746291024E-02   3.7633580762181474E-04   2.2244459309836845E-03
         2         48   0.0000000000000000E+00   5.6587959930003264E-03   5.6443087340288039E-05   2.5173638224210355E-04
         2         49   0.0000000000000000E+00   4.0954069134536850E-02   2.2511572189403846E-04   1.2752179315563311E-03
         2         50   0.0000000000000000E+00   2.6780105652882981E-03   2.5738898648711068E-05   1.1454856258999345E-04
         2         51   0.0000000000000000E+00   1.0208568886190393E-02   5.8309228972754365E-05   3.1500774797890225E-04
         2         52   0.0000000000000000E+00   4.1163357160797012E-03   1.1338691201620969E-05   1.0000585691661751E-04
         2         53   0.0000000000000000E+00   1.0878393928011246E+01   1.6735418875534572E-01   4.8812855044188641E-01
         2         54   0.0000000000000000E+00   1.9823119986903557E+00   1.2133457339191639E-01   1.9968096997175053E-01
         2         55   0.0000000000000000E+00   1.3594989187815141E+00   6.5866700152604832E-02   1.3371667328176121E-01
         2         56   0.0000000000000000E+00   1.0627978766378504E+01   1.6292324345605538E-01   4.7618353228455645E-01
         2         57   0.0000000000000000E+00   6.2852436963097995E+00   3.9254266764830176E-01   6.7737265806982638E-01
         2         58   0.0000000000000000E+00   3.2185896075990372E-01   1.3713957591023019E-02   2.6364703221980271E-02
         2         59   0.0000000000000000E+00   1.5843432126990615E+01   3.1570303819187484E-01   7.7994377170962637E-01
         2         60   0.0000000000000000E+00   6.0136009430415678E+00   1.1864370435168990E-01   2.9463961734932320E-01
         2         61   0.0000000000000000E+00   2.5969524442469837E+01   4.9170361364449178E-01   1.2555558166869680E+00
         2         62   0.0000000000000000E+00   1.5139370646604768E+01   3.0014217741859572E-01   7.4368083556348463E-01
         2         63   0.0000000000000000E+00   3.3587957919999014E+00   2.0239976228905193E-01   3.6362889438414703E-01
         2         64   0.0000000000000000E+00   2.3480612734154413E+01   4.3908391516031581E-01   1.1291598278524493E+00
         2         65   0.0000000000000000E+00   1.3691464570486506E+01   2.6833373566358798E-01   6.6932879574515236E-01
         2         66   0.0000000000000000E+00   1.6667911815528744E+00   9.9275777303824295E-02   1.6567269599734413E-01
         2         67   0.0000000000000000E+00   7.4303951707704528E+00   1.0758147605151000E-01   3.2513181373227057E-01
         2         68   0.0000000000000000E+00   1.9781746440967523E+00   1.0093274461461697E-01   1.8273917831701841E-01
         2         69   0.0000000000000000E+00   1.9101082777379009E+01   3.4773560070572423E-01   9.0815854474338353E-01
         2         70   0.0000000000000000E+00   4.4762229054287088E+00   2.5811797347710264E-01   4.6180633821521194E-01
         2         71   0.0000000000000000E+00   2.4872590650205209E+00   1.4250382715224774E-01   2.3520946109268237E-01
         2         72   0.0000000000000000E+00   1.6287177123292951E+00   1.7997824816946482E-02   6.5355407855819767E-02
         2         73   0.0000000000000000E+00   1.1137980451295865E+01   2.1297434188160574E-01   5.3905726557773703E-01
         2         74   0.0000000000000000E+00   9.1019627775372614E-01   4.1116008946140474E-02   8.7298488078267983E-02
         2         75   0.0000000000000000E+00   4.8801382279141734E+00   6.5655107496791876E-02   2.0730790521401560E-01
         2         76   0.0000000000000000E+00   1.3296745934320668E+00   6.0866199047642532E-02   1.1626639175355372E-01
         2         77   0.0000000000000000E+00   6.8084506309267778E-01   3.2016843568440041E-02   5.7126998157709559E-02
         2         78   0.0000000000000000E+00   1.2636810671328314E+01   2.1686834507081851E-01   5.8649345439037970E-01
         2         79   0.0000000000000000E+00   3.0224015569354905E+00   1.5646008352443785E-01   2.9380374372009366E-01
         2         80   0.0000000000000000E+00   1.6326367303075979E+00   8.6700117147909539E-02   1.4912614794141113E-01
         2         81   0.0000000000000000E+00   3.3060933885691191E-01   1.0598612967842543E-02   2.3650042909105041E-02
         2         82   0.0000000000000000E+00   7.3554970267685533E+00   1.3330415144119964E-01   3.4877088557561531E-01
         2         83   0.0000000000000000E+00   1.6553361079236244E+00   8.4327125777373002E-02   1.6431522261393444E-01
         2         84   0.0000000000000000E+00   8.7640811606389268E-01   4.6616018612893842E-02   8.2743539490605186E-02
         2         85   0.0000000000000000E+00   2.7387965726602128E+00   4.9300223414965448E-02   1.2981105717840616E-01
         2         86   0.0000000000000000E+00   5.8156941690691000E-01   2.4077764950976729E-02   5.4011651326502215E-02
         2         87   0.0000000000000000E+00   2.2438931421237323E+00   2.5780048775830480E-02   8.9449043488476876E-02
         2         88   0.0000000000000000E+00   5.8758830061048863E+00   8.8796268262990044E-02   2.6013916186745017E-01
         2         89   0.0000000000000000E+00   4.7213565993511136E-01   3.9017735974379826E-03   1.6928212062116053E-02
         2         90   0.0000000000000000E+00   1.5453052257716479E-01   3.7406347398263842E-03   9.6352904609694687E-03
         2         91   0.0000000000000000E+00   3.4227816500397181E+00   5.4802422089101910E-02   1.5478543214360785E-01
         2         92   0.0000000000000000E+00   7.9290938323065896E-01   3.2037778279148409E-02   6.9436929728368069E-02
         2         93   0.0000000000000000E+00   3.8663866121555834E-01   1.7433646548176161E-02   3.4214326994609939E-02
         2         94   0.0000000000000000E+00   1.2309568585462134E+00   1.9690462381186609E-02   5.5884179733223849E-02
         2         95   0.0000000000000000E+00   2.5418493746096327E-01   8.5469673804773882E-03   2.1518707039180934E-02
         2         96   0.0000000000000000E+00   6.1032577044357939E-01   5.1367170981416466E-03   2.1549793707562739E-02
         2         97   0.0000000000000000E+00   7.7325481669694732E-02   2.1131309579128480E-03   5.2585653933298745E-03
         2         98   0.0000000000000000E+00   1.6579422481786101E+00   1.8915465771036567E-02   6.6301475103257346E-02
         2         99   0.0000000000000000E+00   4.3914221493384509E-01   1.1307437164252433E-02   2.9568405893260104E-02
         2        100   0.0000000000000000E+00   1.8389805510875795E-01   5.9115234544815220E-03   1.4106540463508049E-02
         2        101   0.0000000000000000E+00   1.1591260820119245E-01   6.5559325191233149E-04   3.5706811511500404E-03
         2        102   0.0000000000000000E+00   9.4865253026380880E-01   1.1668310580168898E-02   3.9220921756209601E-02
         2        103   0.0000000000000000E+00   3.1773339780640525E-01   3.9023190782853478E-03   1.3036806442139734E-02
         2        104   0.0000000000000000E+00   6.2816179775883940E-02   1.3506332224265812E-03   4.2141240328923656E-03
         2        105   0.0000000000000000E+00   8.2835132811331941E-03   1.1146822417281511E-04   4.1815024561548368E-04
         2        106   0.0000000000000000E+00   2.4062899410332381E-01   1.5980160854470631E-03   7.8907956591544818E-03
         2        107   0.0000000000000000E+00   6.2506347608991694E-02   7.5439575004908083E-04   2.8922041521876021E-03
         2        108   0.0000000000000000E+00   2.2107048959833796E-02   3.2017324125414881E-04   1.1597982503453409E-03
         2        109   0.0000000000000000E+00   1.0478186929080133E-02   1.5049453625057093E-04   5.4784821655943009E-04
         2        110   0.0000000000000000E+00   6.8997056410606888E-03   6.6688296976265488E-05   2.8474485578337642E-04
         2        111   0.0000000000000000E+00   3.2127507850963064E-03   8.2558064690878656E-06   7.3570368594233303E-05
         2        112   0.0000000000000000E+00   1.1000494070408951E-02   3.4709753339580397E-05   2.7650584844777804E-04
         2        113   0.0000000000000000E+00   5.8950773009863212E-03   2.0383195648037469E-05   1.5606851996051975E-04
