################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.1658955956604804E+00 a       467     0    24     1     7
  6.2752230329306902E-01 a       468     0    24     1     8
  1.8858484911504214E+00 a       469     0    24     1     9
 -3.5913347843795336E+00 a       470     0    24     1    10
 -1.2561540024157400E+00 a       471     0    24     1    11
 -8.1999015692693633E-01 a       472     0    24     1    12
  3.2183526333302415E-01 a       473     0    24     1    13
 -1.9755713080821391E+00 a       474     0    24     1    14
 -4.6191636763424715E-01 a       475     0    24     1    15
 -2.6950474928212503E-01 a       476     0    24     1    16
 -5.5341810464833561E+00 a       477     0    24     1    17
 -9.4225401589834912E-01 a       478     0    24     1    18
 -9.1831921048973641E-01 a       479     0    24     1    19
 -3.4492085257403273E+00 a       480     0    24     1    20
 -5.8233787272608151E-01 a       481     0    25     1     1
 -5.3733375433275059E+00 a       482     0    25     1     2
 -2.4284133606805467E+00 a       483     0    25     1     3
  2.5400384843840862E-01 a       484     0    25     1     4
  5.8206879333790162E-01 a       485     0    25     1     5
 -1.5399912656472374E+00 a       486     0    25     1     6
  1.3736494027778612E+00 a       487     0    25     1     7
 -4.6395116596904709E+00 a       488     0    25     1     8
 -4.6659486363925824E-03 a       489     0    25     1     9
  5.9422759978764150E-01 a       490     0    25     1    10
  2.4939026197551590E+00 a       491     0    25     1    11
 -5.7810701237457995E-01 a       492     0    25     1    12
  2.4214193136505866E+00 a       493     0    25     1    13
  9.2627390179019597E-01 a       494     0    25     1    14
  3.0143940982546327E+00 a       495     0    25     1    15
  3.7779444152137973E+00 a       496     0    25     1    16
  2.5233159964442349E+00 a       497     0    25     1    17
 -2.7354506454855985E+00 a       498     0    25     1    18
  3.5536676205731963E+00 a       499     0    25     1    19
  1.6965954935977030E+00 a       500     0    25     1    20
  2.2324514776731195E+00 a       501     0    26     1     1
 -2.2980603774024257E+00 a       502     0    26     1     2
