################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.4768420705216370E-02 a       486     0    25     1     6
 -1.8178874177062179E-01 a       487     0    25     1     7
 -9.7110858281866763E-01 a       488     0    25     1     8
 -6.7263694781562644E-01 a       489     0    25     1     9
 -5.1986715107645332E-01 a       490     0    25     1    10
  3.3510816974368918E-01 a       491     0    25     1    11
 -2.1522777253616030E+00 a       492     0    25     1    12
  1.4420086717459752E+00 a       493     0    25     1    13
  1.1360537254525283E+00 a       494     0    25     1    14
 -7.4689997542418429E-01 a       495     0    25     1    15
 -1.1867017771739956E+00 a       496     0    25     1    16
  5.7039362769461449E-02 a       497     0    25     1    17
 -6.5577381154217629E-01 a       498     0    25     1    18
 -3.9084686174291700E-01 a       499     0    25     1    19
 -4.2138625887477760E-01 a       500     0    25     1    20
  6.4990290971114839E-01 a       501     0    26     1     1
  4.1377767105211677E-01 a       502     0    26     1     2
  3.2629520457855571E-01 a       503     0    26     1     3
