################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.0522443812112037E-01 a       353     0    18     1    13
  1.4033610324867071E-01 a       354     0    18     1    14
  5.7492764847669542E-01 a       355     0    18     1    15
  8.0904131276876412E-01 a       356     0    18     1    16
  8.1324626753392115E-01 a       357     0    18     1    17
  6.3711027172480994E-01 a       358     0    18     1    18
  1.6331652271170918E-02 a       359     0    18     1    19
  2.3256802967563034E-01 a       360     0    18     1    20
 -9.5522599890778537E-01 a       361     0    19     1     1
  1.7993100908440858E+00 a       362     0    19     1     2
 -2.3041268488765909E-01 a       363     0    19     1     3
 -1.1600424536621181E+00 a       364     0    19     1     4
 -2.6406115829982463E-01 a       365     0    19     1     5
 -9.3398271714074321E-01 a       366     0    19     1     6
  1.6808380033028720E+00 a       367     0    19     1     7
  1.3258704361363562E+00 a       368     0    19     1     8
 -1.0585131665313918E+00 a       369     0    19     1     9
 -2.1200310000206009E+00 a       370     0    19     1    10
 -1.0030442088560358E+00 a       371     0    19     1    11
  3.6226239001457550E-01 a       372     0    19     1    12
 -4.6397499052690333E-01 a       373     0    19     1    13
  1.4681919844345170E+00 a       374     0    19     1    14
 -8.1273004939958982E-01 a       375     0    19     1    15
  1.7813475312623468E+00 a       376     0    19     1    16
 -1.0829395510406732E+00 a       377     0    19     1    17
  9.3990095881772728E-01 a       378     0    19     1    18
 -1.2872970474518961E+00 a       379     0    19     1    19
  1.4031719414080581E+00 a       380     0    19     1    20
 -2.9832668783091210E-01 a       381     0    20     1     1
  2.3352278625373066E-01 a       382     0    20     1     2
  3.6186279902995810E-01 a       383     0    20     1     3
 -1.0211816957289466E+00 a       384     0    20     1     4
  5.6914682258503968E-01 a       385     0    20     1     5
 -4.8304102780811831E-01 a       386     0    20     1     6
 -3.6783534604975487E-01 a       387     0    20     1     7
  3.7711902514006482E-02 a       388     0    20     1     8
 -5.5064613250185046E-01 a       389     0    20     1     9
 -1.0478196442103274E-01 a       390     0    20     1    10
  2.3562286996455828E-01 a       391     0    20     1    11
 -7.7279766662209959E-01 a       392     0    20     1    12
 -1.0949324353903342E+00 a       393     0    20     1    13
 -2.7711611684070997E-01 a       394     0    20     1    14
 -4.4583052792036970E-01 a       395     0    20     1    15
  1.7778067440615726E+00 a       396     0    20     1    16
  4.0128118026749933E-02 a       397     0    20     1    17
  2.8933540595776591E-01 a       398     0    20     1    18
 -1.4717926243178051E-01 a       399     0    20     1    19
  5.3073206229896808E-01 a       400     0    20     1    20
 -5.4392498464028527E-01 a       401     0    21     1     1
 -3.0795299945299109E-01 a       402     0    21     1     2
 -1.6339963209824848E-01 a       403     0    21     1     3
  3.4946520211165782E-01 a       404     0    21     1     4
  4.3785944906009860E-01 a       405     0    21     1     5
 -6.2892995030672449E-01 a       406     0    21     1     6
 -2.5539645886045487E-01 a       407     0    21     1     7
 -2.6564523248657573E-01 a       408     0    21     1     8
 -6.0299513647335234E-01 a       409     0    21     1     9
 -3.8860492019217319E-02 a       410     0    21     1    10
  1.0726526277826192E+00 a       411     0    21     1    11
 -2.4941433427535353E-01 a       412     0    21     1    12
  2.9688183877154456E-01 a       413     0    21     1    13
 -2.4049526733110942E+00 a       414     0    21     1    14
 -1.1959189933228820E+00 a       415     0    21     1    15
  6.6912935648031233E-02 a       416     0    21     1    16
 -3.5002131160747924E-01 a       417     0    21     1    17
  3.6570514117915515E-01 a       418     0    21     1    18
 -5.2674551235996458E-01 a       419     0    21     1    19
 -3.1577141344372728E-01 a       420     0    21     1    20
 -7.2663469953455861E-01 a       421     0    22     1     1
 -2.5747260015903556E-01 a       422     0    22     1     2
  1.2403665653321594E-01 a       423     0    22     1     3
  3.2879773640649818E-01 a       424     0    22     1     4
 -2.0156785496905814E+00 a       425     0    22     1     5
  8.1155653389021321E-01 a       426     0    22     1     6
  2.3442666981578544E-01 a       427     0    22     1     7
  9.0448821041718475E-02 a       428     0    22     1     8
 -8.9125796235902566E-01 a       429     0    22     1     9
 -2.3335980866484114E+00 a       430     0    22     1    10
  2.1998056660645790E-02 a       431     0    22     1    11
 -1.3778749575091420E+00 a       432     0    22     1    12
 -2.8585835461820458E-01 a       433     0    22     1    13
 -6.5161059092870199E-01 a       434     0    22     1    14
  8.2657199522592414E-02 a       435     0    22     1    15
 -1.7884102418693526E-01 a       436     0    22     1    16
 -9.2850033846623548E-01 a       437     0    22     1    17
  1.0408962987265528E-01 a       438     0    22     1    18
  1.2954525080945356E+00 a       439     0    22     1    19
  9.0268407080991886E-01 a       440     0    22     1    20
  3.7203506236607470E-01 a       441     0    23     1     1
  1.0647085656536912E+00 a       442     0    23     1     2
  6.7120929468890084E-03 a       443     0    23     1     3
 -9.6226974136284771E-01 a       444     0    23     1     4
  1.3464701345511045E+00 a       445     0    23     1     5
  7.8821731426167252E-01 a       446     0    23     1     6
 -5.7806270912184787E-01 a       447     0    23     1     7
  5.8696374290451980E-01 a       448     0    23     1     8
 -2.8204126193240298E-01 a       449     0    23     1     9
 -4.6503415713752877E-01 a       450     0    23     1    10
 -1.2079177738898939E+00 a       451     0    23     1    11
 -1.3248294027979310E+00 a       452     0    23     1    12
 -9.4091458647192217E-01 a       453     0    23     1    13
 -5.0453150591506424E-01 a       454     0    23     1    14
 -4.1562399320714105E-01 a       455     0    23     1    15
  1.6924390000971803E+00 a       456     0    23     1    16
 -1.6950523470821739E+00 a       457     0    23     1    17
 -2.4320307243065105E+00 a       458     0    23     1    18
 -7.8553691379041213E-01 a       459     0    23     1    19
  2.3653308570408793E+00 a       460     0    23     1    20
  5.2444673563393474E-01 a       461     0    24     1     1
  3.3561712080621803E-01 a       462     0    24     1     2
 -5.3521299550723211E-02 a       463     0    24     1     3
